CELL_LINE,CL_NUMBER,CL_NAME_ON_PLOT,PURPOSE,INFO,PLOTTING_COLOR,PLT_LIGHTER,PLT_LIGHTEST,ORDER_NO,COHORT
MyD88-GFP-synTRAF6-BD-1x,cl246 cl247,CHARMS-sT6BM-1x,SAMPLE,,#fdc788,#ffe0bc,#fff3e5,15,MyD88-GFP-synTRAF6-BD-1x TRAF6
MyD88-GFP-synTRAF6-BD-3x,cl254 cl255,CHARMS-sT6BM-3x,SAMPLE,,#f68c60,#ffbda1,#ffe1d5,16,MyD88-GFP-synTRAF6-BD-3x TRAF6
MyD88-GFP-synTRAF6-BD-5x,cl262 cl263,CHARMS-sT6BM-5x,SAMPLE,,#b41f24,#ff7d82,#ffd5d6,17,MyD88-GFP-synTRAF6-BD-5x TRAF6
MyD88-GFP-synTRAF6-BD-1xA,cl248 cl249,CHARMS-sT6BM-1xA,SAMPLE,,#cbc9e2,#dad8f3,#ebe9f8,18,
MyD88-GFP-synTRAF6-BD-3xA,cl256 cl257,CHARMS-sT6BM-3xA,SAMPLE,,#9e9ac8,#c6c2ec,#e7e5ff,19,
MyD88-GFP-synTRAF6-BD-5xA,cl264 cl265,CHARMS-sT6BM-5xA,SAMPLE,,#6a51a3,#9f8ccc,#ccbbf3,20,
